Direct,MinPrice,OutboundLeg,QuoteDateTime,QuoteId,CarrierIds,DepartureDate,DestinationId,OriginId
False,698.0,"{'CarrierIds': [954], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-14T00:00:00'}",2019-07-18T16:27:00,14,[954],2019-12-14T00:00:00,42795,58440
False,723.0,"{'CarrierIds': [954], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-15T00:00:00'}",2019-07-22T03:14:00,15,[954],2019-12-15T00:00:00,42795,58440
False,968.0,"{'CarrierIds': [898], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-16T00:00:00'}",2019-07-18T05:11:00,16,[898],2019-12-16T00:00:00,42795,58440
False,879.0,"{'CarrierIds': [1755], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-17T00:00:00'}",2019-07-21T15:13:00,17,[1755],2019-12-17T00:00:00,42795,58440
False,885.0,"{'CarrierIds': [1530], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-18T00:00:00'}",2019-07-21T23:15:00,18,[1530],2019-12-18T00:00:00,42795,58440
False,929.0,"{'CarrierIds': [1523], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-19T00:00:00'}",2019-07-21T23:15:00,19,[1523],2019-12-19T00:00:00,42795,58440
False,945.0,"{'CarrierIds': [857], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-20T00:00:00'}",2019-07-21T23:17:00,20,[857],2019-12-20T00:00:00,42795,58440
False,904.0,"{'CarrierIds': [1713], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-21T00:00:00'}",2019-07-23T04:15:00,21,[1713],2019-12-21T00:00:00,42795,58440
False,1134.0,"{'CarrierIds': [929], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-23T00:00:00'}",2019-07-23T10:28:00,22,[929],2019-12-23T00:00:00,42795,58440
False,640.0,"{'CarrierIds': [1606], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-24T00:00:00'}",2019-07-23T02:13:00,23,[1606],2019-12-24T00:00:00,42795,58440
False,602.0,"{'CarrierIds': [1658], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-25T00:00:00'}",2019-07-20T20:10:00,24,[1658],2019-12-25T00:00:00,42795,58440
False,624.0,"{'CarrierIds': [898], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-26T00:00:00'}",2019-07-22T18:25:00,25,[898],2019-12-26T00:00:00,42795,58440
False,498.0,"{'CarrierIds': [1276], 'OriginId': 58440, 'DestinationId': 42795, 'DepartureDate': '2019-12-27T00:00:00'}",2019-07-21T19:34:00,26,[1276],2019-12-27T00:00:00,42795,58440
